x_px,y_px,H_star,B_star,U_H_V,U_B_V
69.0,92.0,-0.31683168316831684,0.08,-0.25346534653465347,0.0064
141.0,92.0,0.39603960396039606,0.08,0.3168316831683169,0.0064
66.0,93.0,-0.3465346534653465,0.07,-0.2772277227722772,0.005600000000000001
67.0,94.0,-0.33663366336633666,0.06,-0.2693069306930693,0.0048
140.0,94.0,0.38613861386138615,0.06,0.30891089108910896,0.0048
68.0,95.0,-0.32673267326732675,0.05,-0.2613861386138614,0.004
139.0,95.0,0.37623762376237624,0.05,0.30099009900990104,0.004
67.0,96.0,-0.33663366336633666,0.04,-0.2693069306930693,0.0032
68.0,96.0,-0.32673267326732675,0.04,-0.2613861386138614,0.0032
139.0,96.0,0.37623762376237624,0.04,0.30099009900990104,0.0032
140.0,96.0,0.38613861386138615,0.04,0.30891089108910896,0.0032
67.0,97.0,-0.33663366336633666,0.03,-0.2693069306930693,0.0024
68.0,97.0,-0.32673267326732675,0.03,-0.2613861386138614,0.0024
139.0,97.0,0.37623762376237624,0.03,0.30099009900990104,0.0024
140.0,97.0,0.38613861386138615,0.03,0.30891089108910896,0.0024
68.0,98.0,-0.32673267326732675,0.02,-0.2613861386138614,0.0016
139.0,98.0,0.37623762376237624,0.02,0.30099009900990104,0.0016
140.0,98.0,0.38613861386138615,0.02,0.30891089108910896,0.0016
67.0,99.0,-0.33663366336633666,0.01,-0.2693069306930693,0.0008
139.0,99.0,0.37623762376237624,0.01,0.30099009900990104,0.0008
140.0,99.0,0.38613861386138615,0.01,0.30891089108910896,0.0008
66.0,100.0,-0.3465346534653465,-0.0,-0.2772277227722772,-0.0
139.0,100.0,0.37623762376237624,-0.0,0.30099009900990104,-0.0
140.0,100.0,0.38613861386138615,-0.0,0.30891089108910896,-0.0
65.0,101.0,-0.3564356435643564,-0.01,-0.2851485148514851,-0.0008
140.0,101.0,0.38613861386138615,-0.01,0.30891089108910896,-0.0008
64.0,102.0,-0.36633663366336633,-0.02,-0.29306930693069305,-0.0016
139.0,102.0,0.37623762376237624,-0.02,0.30099009900990104,-0.0016
64.0,103.0,-0.36633663366336633,-0.03,-0.29306930693069305,-0.0024
65.0,103.0,-0.3564356435643564,-0.03,-0.2851485148514851,-0.0024
64.0,104.0,-0.36633663366336633,-0.04,-0.29306930693069305,-0.0032
65.0,104.0,-0.3564356435643564,-0.04,-0.2851485148514851,-0.0032
138.0,104.0,0.36633663366336633,-0.04,0.29306930693069305,-0.0032
64.0,105.0,-0.36633663366336633,-0.05,-0.29306930693069305,-0.004
65.0,105.0,-0.3564356435643564,-0.05,-0.2851485148514851,-0.004
64.0,106.0,-0.36633663366336633,-0.06,-0.29306930693069305,-0.0048
65.0,106.0,-0.3564356435643564,-0.06,-0.2851485148514851,-0.0048
137.0,106.0,0.3564356435643564,-0.06,0.2851485148514851,-0.0048
65.0,107.0,-0.3564356435643564,-0.07,-0.2851485148514851,-0.005600000000000001
136.0,107.0,0.3465346534653465,-0.07,0.2772277227722772,-0.005600000000000001
64.0,108.0,-0.36633663366336633,-0.08,-0.29306930693069305,-0.0064
137.0,108.0,0.3564356435643564,-0.08,0.2851485148514851,-0.0064
63.0,109.0,-0.37623762376237624,-0.09,-0.30099009900990104,-0.0072
136.0,109.0,0.3465346534653465,-0.09,0.2772277227722772,-0.0072
63.0,110.0,-0.37623762376237624,-0.1,-0.30099009900990104,-0.008
64.0,110.0,-0.36633663366336633,-0.1,-0.29306930693069305,-0.008
63.0,111.0,-0.37623762376237624,-0.11,-0.30099009900990104,-0.0088
64.0,111.0,-0.36633663366336633,-0.11,-0.29306930693069305,-0.0088
135.0,111.0,0.33663366336633666,-0.11,0.2693069306930693,-0.0088
64.0,112.0,-0.36633663366336633,-0.12,-0.29306930693069305,-0.0096
